Type,Location,LatLong
Apple,Strada,"37.869169, -122.254956"
Blackberry,Campanile,"37.872359, -122.258168"
Blackberry,Strawberry Creek,"37.872219, -122.262560"
Blackberry,VLSB Bridge,"37.872444, -122.262061"
Pomegranate,Parker and Ellsworth,"37.862825, -122.262786"
Blackberry,Parker and Ellsworth,"37.862829, -122.262764"
Tomato,Hertz Hall,"37.871215, -122.256103"
Blackberry,Parker and Fulton,"37.862359, -122.265156"
Plum,2200 Blake,"37.863494, -122.263575"
Avocado,2200 Blake,"37.863630, -122.264141"
Pomegranate,Derby and Ellsworth,"37.861347, -122.262242"
Peach,Albany Bulb,"37.889908, -122.321241"
Blackberry,Albany Bulb,"37.889858, -122.321220"
Fig,Parker and Ellsworth,"37.862815, -122.262817"
Blackberry,Barrows,"37.870808, -122.257542"
Blackberry,Bechtel,"37.874060, -122.257992"
Blackberry,McCone Hall,"37.873778, -122.259846"
Apple,Parker Co Op,"37.863040, -122.261165"
Strawberry,Parker Co Op,"37.863030, -122.261205"
Blackberry,Bancroft,"37.868953, -122.257963"
Tomato,Fulton and Parker,"37.862605, -122.264466"
Orange,ADP,"37.867564, -122.252113"
Blackberry,north VLSB,"37.872075, -122.262641"
Blackberry,Pete's/Li ka shing,"37.872830, -122.264512"
Blackberry,south vlsb,"37.870852, -122.262510"
Nasturtium,Evans,"37.873122, -122.258075"
Nasturtium,Campanile,"37.872792, -122.258031"
Nasturtium,Campanile,"37.872763, -122.258168"
Nasturtium,Hargrove,"37.870399, -122.255914"
Blackberry,Albany Bulb,"37.889778, -122.313950"
Blackberry,Albany Bulb,"37.890214, -122.323149"
Blackberry,Albany Bulb,"37.890556, -122.323301"
Blackberry,Albany Bulb,"37.891156, -122.324021"
Blackberry,Albany Bulb,"37.891973, -122.324594"
Blackberry,Albany Bulb,"37.892156, -122.324993"
Nasturtium,Davis,"37.874295, -122.258713"
Nasturtium,Kroeber,"37.870267, -122.255169"
Nasturtium,Soda,"37.875403, -122.258918"